"";"clan";"type"
"2";1, 2, 5, 6, 8;ER_10
"3";1, 2, 5, 7, 9;ER_10
"4";1, 2, 5, 9, 10;ER_10
"5";1, 2, 7, 8, 9;ER_10
"6";1, 2, 8, 9, 10;ER_10
"7";1, 3, 5, 6, 8;ER_10
"8";2, 5, 6, 7, 10;ER_10
"9";2, 6, 7, 8, 10;ER_10
"10";3, 4, 7, 9, 10;ER_10
"11";1, 3, 5;SB_10
"12";1, 4, 5;SB_10
"13";7,8,9;SB_10
"14";7, 8, 10;SB_10
"15";7, 9, 10;SB_10
"16";8,9,10;SB_10
"17";1,2,3,4;SB_10
"18";1, 2, 3, 5;SB_10
"19";1, 2, 4, 5;SB_10
"20";1, 3, 4, 5;SB_10
"21";2,3,4,5;SB_10
"22";6,7,8,9;SB_10
"23";6, 7, 8, 10;SB_10
"24";6, 7, 9, 10;SB_10
"25";6, 8, 9, 10;SB_10
"26";7,8,9,10;SB_10
"27";1,2,3,4,5;SB_10
"28";6,7,8,9,10;SB_10
"29";1, 5;RGG_10
"30";2, 6, 8, 10;RGG_10
"31";2, 6, 9, 10;RGG_10
"32";3, 6, 8, 10;RGG_10
"33";1, 2, 6, 8, 10;RGG_10
"34";1, 2, 6, 9, 10;RGG_10
"35";1, 2, 7, 9, 10;RGG_10
"36";1, 3, 4, 8, 10;RGG_10
"37";1, 3, 5, 6, 10;RGG_10
"38";1, 3, 6, 8, 10;RGG_10
"39";1, 4, 6, 8, 10;RGG_10
"40";2, 3, 6, 8, 10;RGG_10
"41";2, 3, 6, 9, 10;RGG_10
"42";2, 3, 7, 9, 10;RGG_10
"43";2, 3, 8, 9, 10;RGG_10
"44";2, 4, 6, 7, 8;RGG_10
"45";2, 4, 6, 8, 10;RGG_10
"46";2, 4, 8, 9, 10;RGG_10
"47";2, 5, 6, 7, 9;RGG_10
"48";2, 5, 6, 8, 10;RGG_10
"49";2, 5, 6, 9, 10;RGG_10
"50";2, 6, 7, 9, 10;RGG_10
"51";2, 6, 8, 9, 10;RGG_10
"52";3, 4, 5, 6, 8;RGG_10
"53";3, 4, 6, 8, 10;RGG_10
"54";3, 5, 6, 8, 10;RGG_10
"55";1,2,3,4,5;RF_10
"56";1, 2, 3, 4, 6;RF_10
"57";1, 2, 3, 4, 7;RF_10
"58";1, 2, 3, 4, 8;RF_10
"59";1, 2, 3, 4, 9;RF_10
"60";1, 2, 3, 4, 10;RF_10
"61";1, 2, 3, 5, 6;RF_10
"62";1, 2, 3, 5, 7;RF_10
"63";1, 2, 3, 5, 8;RF_10
"64";1, 2, 3, 5, 9;RF_10
"65";1, 2, 3, 5, 10;RF_10
"66";1, 2, 3, 6, 7;RF_10
"67";1, 2, 3, 6, 8;RF_10
"68";1, 2, 3, 6, 9;RF_10
"69";1, 2, 3, 6, 10;RF_10
"70";1, 2, 3, 7, 8;RF_10
"71";1, 2, 3, 7, 9;RF_10
"72";1, 2, 3, 7, 10;RF_10
"73";1, 2, 3, 8, 9;RF_10
"74";1, 2, 3, 8, 10;RF_10
"75";1, 2, 3, 9, 10;RF_10
"76";9, 35;ER_40
"77";13, 30;ER_40
"78";1, 4, 17, 18, 38;ER_40
"79";6,7,8;SB_40
"80";11,12,13;SB_40
"81";11, 12, 14;SB_40
"82";11, 13, 14;SB_40
"83";12,13,14;SB_40
"84";21, 22, 24;SB_40
"85";21, 24, 25;SB_40
"86";27,28,29;SB_40
"87";31, 33, 35;SB_40
"88";36, 37, 40;SB_40
"89";36, 38, 40;SB_40
"90";37, 39, 40;SB_40
"91";38,39,40;SB_40
"92";1, 2, 3, 5;SB_40
"93";1, 2, 4, 5;SB_40
"94";6,7,8,9;SB_40
"95";6, 7, 9, 10;SB_40
"96";6, 8, 9, 10;SB_40
"97";7,8,9,10;SB_40
"98";11,12,13,14;SB_40
"99";11, 12, 13, 15;SB_40
"100";11, 12, 14, 15;SB_40
"101";11, 13, 14, 15;SB_40
"102";12,13,14,15;SB_40
"103";16,17,18,19;SB_40
"104";16, 17, 18, 20;SB_40
"105";16, 17, 19, 20;SB_40
"106";16, 18, 19, 20;SB_40
"107";17,18,19,20;SB_40
"108";21,22,23,24;SB_40
"109";21, 22, 23, 25;SB_40
"110";21, 22, 24, 25;SB_40
"111";21, 23, 24, 25;SB_40
"112";22,23,24,25;SB_40
"113";26,27,28,29;SB_40
"114";26, 27, 28, 30;SB_40
"115";26, 27, 29, 30;SB_40
"116";31,32,33,34;SB_40
"117";31, 32, 33, 35;SB_40
"118";31, 32, 34, 35;SB_40
"119";31, 33, 34, 35;SB_40
"120";32,33,34,35;SB_40
"121";36,37,38,39;SB_40
"122";36, 37, 38, 40;SB_40
"123";36, 37, 39, 40;SB_40
"124";36, 38, 39, 40;SB_40
"125";37,38,39,40;SB_40
"126";1,2,3,4,5;SB_40
"127";6,7,8,9,10;SB_40
"128";11,12,13,14,15;SB_40
"129";16,17,18,19,20;SB_40
"130";21,22,23,24,25;SB_40
"131";26,27,28,29,30;SB_40
"132";31,32,33,34,35;SB_40
"133";36,37,38,39,40;SB_40
"134";7, 28;RGG_40
"135";26, 35;RGG_40
"136";28, 33;RGG_40
"137";2, 4, 33;RGG_40
"138";5, 12, 22;RGG_40
"139";7, 28, 33;RGG_40
"140";11, 16, 18;RGG_40
"141";14, 26, 35;RGG_40
"142";16, 18, 27;RGG_40
"143";1, 3, 9, 10;RGG_40
"144";1, 3, 9, 13;RGG_40
"145";2, 4, 28, 33;RGG_40
"146";2, 36, 38, 39;RGG_40
"147";7, 14, 26, 40;RGG_40
"148";7, 14, 35, 40;RGG_40
"149";8, 20, 25, 27;RGG_40
"150";11, 16, 18, 27;RGG_40
"151";11, 16, 25, 27;RGG_40
"152";11, 18, 25, 27;RGG_40
"153";16, 18, 25, 27;RGG_40
"154";1, 3, 9, 10, 13;RGG_40
"155";1, 3, 9, 13, 23;RGG_40
"156";1, 9, 10, 13, 37;RGG_40
"157";2, 4, 7, 28, 33;RGG_40
"158";2, 4, 7, 38, 40;RGG_40
"159";2, 4, 8, 20, 38;RGG_40
"160";2, 4, 36, 38, 39;RGG_40
"161";3, 9, 10, 13, 37;RGG_40
"162";4, 33, 36, 38, 39;RGG_40
"163";6, 15, 24, 30, 31;RGG_40
"164";6, 15, 24, 30, 34;RGG_40
"165";6, 15, 24, 31, 34;RGG_40
"166";6, 15, 30, 31, 34;RGG_40
"167";6, 24, 30, 31, 34;RGG_40
"168";7, 14, 26, 28, 40;RGG_40
"169";7, 14, 26, 35, 40;RGG_40
"170";7, 14, 28, 35, 40;RGG_40
"171";7, 36, 38, 39, 40;RGG_40
"172";8, 11, 16, 20, 27;RGG_40
"173";8, 11, 18, 20, 27;RGG_40
"174";8, 16, 18, 20, 27;RGG_40
"175";8, 20, 36, 38, 39;RGG_40
"176";11, 16, 18, 25, 27;RGG_40
"177";15, 24, 29, 32, 34;RGG_40
"178";15, 24, 30, 31, 34;RGG_40
